procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 64751536 143844 1081492    0    0     0    10 30110 265668 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 64751824 143844 1081496    0    0     0    18 30327 265406 19 12 69  0  0
14  0      0 64749568 143844 1081528    0    0     0    13 29976 264365 19 12 69  0  0
11  0      0 64752484 143848 1081496    0    0     0    10 28490 253229 18 12 70  0  0
31  0      0 64741756 143848 1081496    0    0     0     3 50337 366500 32 15 53  0  0
 7  0      0 64732808 143852 1081500    0    0     0     6 74878 488608 48 18 34  0  0
 9  0      0 64732948 143852 1081572    0    0     0    21 30896 276042 20 12 68  0  0
10  0      0 64719280 143856 1081540    0    0     0    18 29285 263471 19 12 69  0  0
 8  0      0 64734708 143860 1081544    0    0     0    14 30860 274472 20 12 68  0  0
11  0      0 64734024 143860 1081544    0    0     0     6 30579 274084 19 12 68  0  0
 8  0      0 64734152 143860 1081544    0    0     0     9 29929 268953 19 12 69  0  0
 8  0      0 64727808 143860 1081544    0    0     0     6 29289 261094 19 12 69  0  0
 4  0      0 64729304 143860 1081544    0    0     0     9 29252 262325 19 12 69  0  0
13  0      0 64729516 143864 1081544    0    0     0    15 29244 262471 19 12 69  0  0
15  0      0 64730668 143864 1081548    0    0     0    12 29170 261949 19 12 69  0  0
 8  0      0 64731064 143864 1081548    0    0     0     2 29365 263414 19 12 69  0  0
 6  0      0 64730668 143864 1081548    0    0     0     6 30182 270233 19 12 69  0  0
11  0      0 64730652 143864 1081548    0    0     0    10 29579 262559 19 12 69  0  0
13  0      0 64710656 143864 1081580    0    0     0     6 29858 266431 19 12 69  0  0
 6  0      0 64729776 143872 1081548    0    0     0    18 30309 269840 19 12 69  0  0
 8  0      0 64731804 143876 1081548    0    0     0    18 29563 261883 19 12 69  0  0
 6  0      0 64718272 143876 1081552    0    0     0     2 30171 269458 19 12 69  0  0
