procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 64444712 141856 1067520    0    0     0     6 29588 260397 19 12 69  0  0
 4  0      0 64447236 141864 1067492    0    0     0    18 29861 264084 19 12 69  0  0
 4  0      0 64445900 141864 1067492    0    0     0    14 30307 265236 19 12 70  0  0
 9  0      0 64447708 141864 1067492    0    0     0    19 30411 267186 19 12 69  0  0
 8  0      0 64446604 141864 1067492    0    0     0     6 30315 265250 19 12 69  0  0
10  0      0 64438804 141868 1067492    0    0     0     9 28739 254260 18 12 70  0  0
 7  0      0 64449808 141872 1067492    0    0     0     9 30348 266978 19 12 69  0  0
11  0      0 64448096 141872 1067492    0    0     0    13 30338 268028 19 12 69  0  0
10  0      0 64446312 141872 1067496    0    0     0   271 30620 268478 20 12 69  0  0
16  0      0 64445380 141876 1067528    0    0     0    31 29323 259917 19 11 70  0  0
 7  0      0 64446504 141876 1067496    0    0     0     6 29565 259786 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0 64448132 141876 1067496    0    0     0     3 30450 266364 19 12 69  0  0
 6  0      0 64448760 141876 1067496    0    0     0     9 30281 265124 19 12 69  0  0
 7  0      0 64448860 141876 1067528    0    0     0    12 30204 265868 19 12 69  0  0
 2  0      0 64449172 141876 1067500    0    0     0    10 28978 253796 19 12 70  0  0
12  0      0 64448484 141876 1067504    0    0     0    22 30323 265278 19 12 69  0  0
13  0      0 64448844 141876 1067508    0    0     0    11 30581 267679 19 12 69  0  0
 7  0      0 64444340 141876 1067508    0    0     0     9 30245 263879 20 12 69  0  0
 8  0      0 64443956 141876 1067548    0    0     0     3 28785 254606 19 12 70  0  0
 8  0      0 64445316 141880 1067548    0    0     0     9 28754 254378 19 12 70  0  0
11  0      0 64429384 141880 1067580    0    0     0     6 29667 260554 19 12 69  0  0
 6  0      0 64447268 141884 1067548    0    0     0    22 29645 258966 19 12 70  0  0
 8  0      0 64431596 141888 1067584    0    0     0     9 28812 253612 18 12 70  0  0
12  0      0 64448316 141892 1067552    0    0     0    12 30186 263161 19 12 69  0  0
 7  0      0 64449256 141892 1067552    0    0     0     6 29020 254106 19 12 70  0  0
